文件名,公网IP地址/公网URL地址/域名/邮箱地址,用途说明
ais_bench/cmake/config.ini,https://gitee.com/mirrors/googletest/repository/archive/release-1.12.1.tar.gz,cpp代码单元测试用例框架依赖
ais_bench/cmake/config.ini,https://gitee.com/sinojelly/mockcpp/repository/archive/v2.7.zip,cpp代码单元测试用例框架依赖
ais_bench/cmake/config.ini,https://gitee.com/mirrors/pybind11.git,cpp代码单元测试用例框架依赖
